	ReqID	NeedID	ReqText	NeedText	r01_structured_statements	r02_active_voice	r03_appropriate_subject_verb	r04_defined_terms	r05_definite_articles	r06_common_units_of_measure	r07_vague_terms	r08_escape_clauses	r09_open_ended_clauses	r10_superfluous_infinitives	r11_separate_clauses	r12_correct_grammar	r13_correct_spelling	r14_correct_punctuation	r15_logical_expressions	r16_use_of_not	r17_use_of_oblique_symbol	r18_single_thought_sentence	r19_combinators	r20_purpose_phrases	r21_parentheses	r22_enumeration	r23_supporting_diagram_model_ICD	r24_pronouns	r25_headings	r26_absolutes	r27_explicit_conditions	r28_multiple_conditions	r29_classification	r30_unique_expression	r31_solution_free	r32_universal_qualification	r33_range_of_values	r34_measurable_performance	r35_temporal_dependencies	r36_consistent_terms_and_units	r37_acronyms	r38_abbreviations	r39_style_guide	r40_decimal_format	r41_related_needs_and_requirements	r42_structured_sets	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C1_norm	C2_norm	C3_norm	C4_norm	C5_norm	C6_norm	C7_norm	C8_norm	C9_norm	C10_norm	C11_norm	C12_norm	C13_norm	C14_norm	C15_norm	wRQ
3.1.1.2.7	203.18.3	203.0	The RSU shall withstand electrostatic discharge (ESD) from external sources and electrical distribution. (Provide ESD definitions/specifications.)	Need to manage CV equipment maintenance	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	2	3	23	12	4	2	20	11	7	4	8	2	5	5	5	1.0	1.0	0.7666666666666667	0.75	0.5	1.0	0.8	1.0	0.7	1.0	0.8	0.6666666666666666	0.625	0.7142857142857143	0.7142857142857143	0.9815459663947136
3.1.1.2.8	203.19.1	203.0	The ASD design shall prevent battery drain.	Need to manage CV equipment maintenance	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	28	13	8	2	23	10	9	4	10	3	8	7	7	1.0	1.0	0.9333333333333333	0.8125	1.0	1.0	0.92	0.9090909090909091	0.9	1.0	1.0	1.0	1.0	1.0	1.0	0.9983615633658182
3.1.1.2.9	402.2.2	402.0	The RSU shall be able to resume normal function within 2 minutes of restoration of power.	Need to manage equipment health	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	3	25	11	7	1	20	9	9	4	10	1	8	7	7	0.5	1.0	0.8333333333333334	0.6875	0.875	0.5	0.8	0.8181818181818182	0.9	1.0	1.0	0.3333333333333333	1.0	1.0	1.0	0.968392642789216
3.1.2.1.1	203.31.1	203.0	Back office servers shall have their power source augmented by an Uninterruptable Power Supply (UPS).	Need to manage CV equipment maintenance	0	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	2	3	21	11	6	2	17	10	7	4	8	2	5	5	5	1.0	1.0	0.7	0.6875	0.75	1.0	0.68	0.9090909090909091	0.7	1.0	0.8	0.6666666666666666	0.625	0.7142857142857143	0.7142857142857143	0.985383985015544
3.1.2.2.1	203.1.1	203.0	The NYC CVPD maintenance personnel shall replace the ASD damaged by improper maintenance, tampering, or mishap.	Need to manage CV equipment maintenance	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	23	12	6	2	20	9	8	4	10	2	7	7	7	1.0	1.0	0.7666666666666667	0.75	0.75	1.0	0.8	0.8181818181818182	0.8	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9911353029975862
3.1.2.2.2	203.1.2	203.0	The NYC CVPD maintenance personnel shall replace the RSU damaged by improper maintenance, tampering, or mishap.	Need to manage CV equipment maintenance	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	23	12	6	2	20	9	8	4	10	2	7	7	7	1.0	1.0	0.7666666666666667	0.75	0.75	1.0	0.8	0.8181818181818182	0.8	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9911353029975862
3.1.2.2.3	203.2.1	203.0	The NYC CVPD maintenance personnel shall be able to reboot the ASD after a disruptive software glitch.	Need to manage CV equipment maintenance	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	3	24	11	7	2	19	10	9	4	10	2	8	7	7	0.5	1.0	0.8	0.6875	0.875	1.0	0.76	0.9090909090909091	0.9	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.9850776282698487
3.1.2.2.4	203.2.2	203.0	The NY C CVPD maintenance personnel shall be able to reboot the RSU after a disruptive software glitch.	Need to manage CV equipment maintenance	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	3	23	11	7	2	19	10	8	4	9	2	7	6	6	0.5	1.0	0.7666666666666667	0.6875	0.875	1.0	0.76	0.9090909090909091	0.8	1.0	0.9	0.6666666666666666	0.875	0.8571428571428571	0.8571428571428571	0.9872378906742201
3.1.3.1	202.2.1	202.0	The NYC CVPD applications shall have modifiable algorithms and software parameters for tuning the system’s operation.	Need to manage CV application for the traffic environment	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	25	13	5	2	21	11	9	4	10	2	7	7	7	0.5	1.0	0.8333333333333334	0.8125	0.625	1.0	0.84	1.0	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9843911080350968
3.1.3.2	202.3.1	202.0	The ASD shall have upgradable hardware components for improving the device performance upon expansion of the NYC CVPD system.	Need to manage CV application for the traffic environment	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	27	13	6	2	23	11	10	4	10	2	8	7	7	0.5	1.0	0.9	0.8125	0.75	1.0	0.92	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.9865948643135785
3.1.3.3	202.3.2	202.0	The RSU shall have upgradable hardware components for improving the device performance upon expansion of the NYC CVPD system.	Need to manage CV application for the traffic environment	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	27	13	6	2	23	11	10	4	10	2	8	7	7	0.5	1.0	0.9	0.8125	0.75	1.0	0.92	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.9865948643135785
3.1.4.1	204.3.1	204.0	The audible message volume in the ASD shall be distinguishable from other sounds.	Need to limit additional vehicle cab devices that have the potential to distract drivers	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	26	12	7	2	21	10	8	4	10	2	7	7	7	1.0	1.0	0.8666666666666667	0.75	0.875	1.0	0.84	0.9090909090909091	0.8	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9934570196265768
3.1.4.2	204.3.2	204.0	The audible message volume in the ASD shall be developed and tested in a real traffic environment.	Need to limit additional vehicle cab devices that have the potential to distract drivers	0	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	2	21	10	5	2	17	9	8	4	10	2	7	7	7	1.0	0.6666666666666666	0.7	0.625	0.625	1.0	0.68	0.8181818181818182	0.8	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9833498377537699
3.1.4.3	203.17.1	203.0	The RSU shall be designed to operate properly in the outdoor environment. (e.g. temperature, humidity, rain, fog, sun, snow, shock, vibration, etc.) {Ref augmented NEMA TS2 -20XX}	Need to manage CV equipment maintenance	0	0	1	1	1	1	0	1	0	0	1	1	0	0	1	1	1	0	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	2	20	8	3	2	16	8	6	4	8	2	5	5	5	0.5	0.6666666666666666	0.6666666666666666	0.5	0.375	1.0	0.64	0.7272727272727273	0.6	1.0	0.8	0.6666666666666666	0.625	0.7142857142857143	0.7142857142857143	0.9727868889818407
3.2.0.1	110.2.3	110.0	All NYC CVPD ASDs shall utilize the same GPS time source and common accuracy configuration as the NYC CVPD Infrastructure.		1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	2	3	23	11	7	1	18	9	10	4	10	1	8	7	7	1.0	1.0	0.7666666666666667	0.6875	0.875	0.5	0.72	0.8181818181818182	1.0	1.0	1.0	0.3333333333333333	1.0	1.0	1.0	0.9723124880659194
3.2.0.2	201.5.1	201.0	The ASD shall provide the alerts to the driver without ambiguity.	Need to have privacy	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	29	14	7	2	24	11	10	4	10	3	8	7	7	0.5	1.0	0.9666666666666667	0.875	0.875	1.0	0.96	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9912070668844526
3.2.0.3	202.7.1	202.0	The ASD shall process all radio messages at a minimum rate of 10 Hz.	Need to manage CV application for the traffic environment	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	2	3	24	11	8	0	18	8	10	4	10	0	8	7	7	1.0	1.0	0.8	0.6875	1.0	0.0	0.72	0.7272727272727273	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.9224371368963409
3.2.1.1	110.2.2	110.0	The ASD shall broadcast the BSM of host vehicles per SAE standards J2945/1 and J2735.		1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	3	26	14	7	2	23	11	9	4	9	3	7	6	6	1.0	1.0	0.8666666666666667	0.875	0.875	1.0	0.92	1.0	0.9	1.0	0.9	1.0	0.875	0.8571428571428571	0.8571428571428571	0.9978811176767017
3.2.1.3	202.4.2	202.0	The Vehicle Performance Monitoring application shall collect/log vehicle operational data (e.g. hard break, steering turns, accelerations based on accelerometers).	Need to manage CV application for the traffic environment	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	25	13	6	2	21	10	9	4	10	2	7	7	7	1.0	1.0	0.8333333333333334	0.8125	0.75	1.0	0.84	0.9090909090909091	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9934483393274297
3.2.1.4	202.4.3	202.0	The fleet manager shall be able to solicit and collect feedback from the anonymous vehicle operators on the operation of the system.	Need to manage CV application for the traffic environment	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	22	12	4	2	19	10	8	4	10	2	7	7	7	0.5	1.0	0.7333333333333333	0.75	0.5	1.0	0.76	0.9090909090909091	0.8	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9791658337032659
3.2.1.5	202.8.1	202.0	The ASD shall monitor the delivery of the audio alert and any audio instructions to the driver. By way of example, a microphone located at or near the speaker can verify that the specific audio word(s) or tone was presented to the driver; contrarily, simply measuring the voltage output sent to the speaker is not sufficient since the speaker could be damaged or sabotaged.	Need to manage CV application for the traffic environment	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	3	18	11	2	2	16	8	8	4	9	2	6	6	6	0.5	1.0	0.6	0.6875	0.25	1.0	0.64	0.7272727272727273	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9664797103634332
3.2.1.6	202.9.1	202.0	The ASD shall include an accelerometer for each of the three axes.	Need to manage CV application for the traffic environment	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	3	25	12	7	1	21	9	9	4	9	2	7	6	6	0.5	1.0	0.8333333333333334	0.75	0.875	0.5	0.84	0.8181818181818182	0.9	1.0	0.9	0.6666666666666666	0.875	0.8571428571428571	0.8571428571428571	0.9842281012927088
3.2.1.7	203.26.1	203.0	The ASD shall be able to process (and authenticate and/or encrypt) the DSRC messages at a minimum rate of 10 Hz. This includes all messages on all channels: BSM, TIM, MAP, SPaT, etc. in addition to IP communications traffic for management applications.	Need to manage CV equipment maintenance	0	1	1	1	0	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	3	13	8	1	0	11	6	6	4	8	0	5	5	5	0.5	1.0	0.43333333333333335	0.5	0.125	0.0	0.44	0.5454545454545454	0.6	1.0	0.8	0.0	0.625	0.7142857142857143	0.7142857142857143	0.8721508490267432
3.2.1.8	204.5.1	204.0	The Host Vehicle ASD shall begin aural alerts within 250 milliseconds of being triggered by the application.	Need to limit additional vehicle cab devices that have the potential to distract drivers	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	2	3	26	12	7	1	21	10	9	4	10	1	7	7	7	1.0	1.0	0.8666666666666667	0.75	0.875	0.5	0.84	0.9090909090909091	0.9	1.0	1.0	0.3333333333333333	0.875	1.0	1.0	0.9762769523873267
3.2.1.9	401.1.2	401.0	The ASD shall have sufficient computing power to authenticate messages on the Safety Applications defined in Table C-1 in time for the individual Safety Applications to meet their individual performance requirements.	Need to have trusted communications	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	3	23	12	6	2	20	11	9	4	9	2	7	6	6	0.5	1.0	0.7666666666666667	0.75	0.75	1.0	0.8	1.0	0.9	1.0	0.9	0.6666666666666666	0.875	0.8571428571428571	0.8571428571428571	0.9870657364700693
3.2.1.10	401.12.1	401.0	The RSU shall interface with signal controllers, NYCWiN, and DSRC messages from vehicles and pedestrians. (Note: this will be expanded into multiple requirements for each interface.)	Need to have trusted communications	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	3	22	11	3	2	19	10	8	4	9	2	6	6	6	0.5	1.0	0.7333333333333333	0.6875	0.375	1.0	0.76	0.9090909090909091	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9763287830763244
3.2.2.1	510.2.1	510.0	The NYC CVPD performance monitoring subsystem shall normalize, obfuscate, aggregate, and analyze the performance measurement data specified in the Task 5 Performance Measurement Plan.	Need to assess all CV applications	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	2	3	18	9	5	1	16	5	7	4	9	1	6	6	6	1.0	1.0	0.6	0.5625	0.625	0.5	0.64	0.45454545454545453	0.7	1.0	0.9	0.3333333333333333	0.75	0.8571428571428571	0.8571428571428571	0.9616898113860113
3.2.2.2	510.5.2	510.0	The NYC CVPD performance monitoring subsystem shall utilize the post -processed data and transmit it to the RDE.	Need to assess all CV applications	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	22	11	4	2	18	10	9	4	10	2	7	7	7	0.5	1.0	0.7333333333333333	0.6875	0.5	1.0	0.72	0.9090909090909091	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9780262403002158
3.2.2.3	510.6.1	510.0	The NYC CVPD performance monitoring subsystem shall collect and post -process the volume counts from temporary automatic traffic recording (ATR) machines .	Need to assess all CV applications	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	2	3	22	11	4	2	19	9	7	4	9	2	6	6	6	1.0	1.0	0.7333333333333333	0.6875	0.5	1.0	0.76	0.8181818181818182	0.7	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.9846981523755246
3.2.2.4	510.7.1	510.0	The NYC CVPD performance monitoring subsystem shall compare and post -process the travel time from MiM RFID tag readers.	Need to assess all CV applications	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	3	22	12	5	2	19	9	7	4	9	3	6	6	6	1.0	1.0	0.7333333333333333	0.75	0.625	1.0	0.76	0.8181818181818182	0.7	1.0	0.9	1.0	0.75	0.8571428571428571	0.8571428571428571	0.9895134703818645
3.2.2.5	510.7.3	510.0	The NYC CVPD performance monitoring subsystem shall compare and post -process the travel time from MTA bus GPS datasets.	Need to assess all CV applications	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	24	12	5	2	20	9	8	4	10	3	7	7	7	1.0	1.0	0.8	0.75	0.625	1.0	0.8	0.8181818181818182	0.8	1.0	1.0	1.0	0.875	1.0	1.0	0.9912120472629407
3.2.2.6	510.8.1	510.0	The NYC CVPD performance monitoring subsystem shall generate system performance reports on the number of active, inactive, and offline ASDs and RSUs in the field by time of day.	Need to assess all CV applications	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	24	13	7	2	21	10	10	4	10	2	8	7	7	1.0	1.0	0.8	0.8125	0.875	1.0	0.84	0.9090909090909091	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.9940181467669954
3.2.2.7	510.8.2	510.0	The NYC CVPD performance monitoring subsystem shall generate system performance reports on the number of CV applications in operation and warnings produced by time of day.	Need to assess all CV applications	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	26	14	6	2	22	11	9	4	10	3	7	7	7	1.0	1.0	0.8666666666666667	0.875	0.75	1.0	0.88	1.0	0.9	1.0	1.0	1.0	0.875	1.0	1.0	0.996741250198393
3.2.2.8	510.8.3	510.0	The NYC CVPD performance monitoring subsystem shall generate system performance reports on the network -wide system safety and mobility measurements. (Note: the reports shall include the crash frequencies and average speeds by peak period.)	Need to assess all CV applications	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	2	3	24	12	4	2	21	10	8	4	9	2	6	6	6	1.0	1.0	0.8	0.75	0.5	1.0	0.84	0.9090909090909091	0.8	1.0	0.9	0.6666666666666666	0.75	0.8571428571428571	0.8571428571428571	0.987255018737307
3.2.2.9	510.9.1	510.0	The NYC CVPD performance monitoring subsystem shall provide obfuscated datasets without PII to the USDOT Independent Evaluator for additional evaluation.	Need to assess all CV applications	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	27	13	7	2	22	11	10	4	10	2	8	7	7	0.5	1.0	0.9	0.8125	0.875	1.0	0.88	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.987647643602918
3.2.2.10	510.10.2	510.0	The ASD shall have the capability of operating in active mode and recording normal driver behaviors and reactions while notifying the user of the perceived warnings.	Need to assess all CV applications	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	3	23	13	5	2	20	11	9	4	10	2	7	7	7	1.0	1.0	0.7666666666666667	0.8125	0.625	1.0	0.8	1.0	0.9	1.0	1.0	0.6666666666666666	0.875	1.0	1.0	0.9899511240091259
