SecID	ReqID	NeedID	ReqText	NeedText
3.2.5.4	502.2.1	502	"The RSUs shall collect the s elected mobility data in accordance with Appendix I, section I.3.2 in the NYC CVPD RSU Procurement Specification shall be collected and transmit this data to the TMC for traffic signal timing pl an optimization and analysis for new timing plan development."	Need to collect event recordings
3.2.5.5	502.2.2	502	"The RSU shall record the BSM data from the Host Vehicle (HV) in accordance with Appendix I, Section I.3.1, Number 12, in the NYC CVPD RSU Procurement Specification."	Need to collect event recordings
3.2.5.6	502.2.3	502	"The BSM data shall be recorded based on distance traveled and time in accordance with Appendix I, Section I.3.1, Number 12, in the NYC CVPD RSU Procurement Specification."	Need to collect event recordings
3.2.5.7	502.2.4	502	"The BSM data time and distance parameters shall be configurable in accordance with Appendix I, Section I.3.2 in the NYC CVPD RSU Procurement Specification."	Need to collect event recordings
3.2.5.8	503.1.1.2	503	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the average number of stops.	Need to assess speed compliance
3.2.5.9	503.1.1.3	503	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the average speeds of the vehicles.	Need to assess speed compliance
3.2.5.10	503.1.1.4	503	The NYC CVPD performance monitoring subsystem shall utilize the post-processed event data and measure the reduction in speed limit violations Before and After periods.	Need to assess speed compliance
3.2.5.11	503.1.1.5	503	The NYC CVPD performance monitoring subsystem shall utilize the post-processed event data and measure the speed variations of the vehicles.	Need to assess speed compliance
3.2.5.12	503.1.1.6	503	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the driver actions in response to warnings and vehicle trajectories.	Need to assess speed compliance
3.2.5.13	503.1.2	503	"The NYC CVPD performance monitoring subsystem shall evaluate the change in speed limit adherence, speed variability, and the average segment speed for each vehicle fleet on a given roadway segment for a given time period (cycle length basis) from the Before period to the After period."	Need to assess speed compliance
3.2.5.14	503.2.7.1	503	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the crash counts and rates of speed-related crashes from police crash databases.	Need to assess speed compliance
3.2.5.15	503.2.7.2	503	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the lateral collision.	Need to assess speed compliance
3.2.5.16	503.2.7.3	503	The NYC CVPD performance monitoring subsystem shall utilize the post-processed event data and measure the vehicle speeds at curve entry from the Host Vehicle BSM in the event records.	Need to assess speed compliance
3.2.5.17	503.2.7.4	503	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the number of warnings generated Before and After period.	Need to assess speed compliance
3.2.5.18	503.2.8	503	The NYC CVPD performance monitoring subsystem shall evaluate whether the number of curve speed violations on each applicable studied roadway segment decreases from the Before period to the After period.	Need to assess speed compliance
3.2.5.19	503.3.4.1	503	The NYC CVPD performance monitoring subsystem shall utilize the post-processed event data and measure the average speed of triggered events at work zone compared to posted speeds.	Need to assess speed compliance
3.2.5.20	503.3.4.2	503	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the vehicle speed limit violations in variable speed zone areas Before and/or After periods or with/without CV.	Need to assess speed compliance
3.2.5.21	503.3.4.3	503	The NYC CVPD performance monitoring subsystem shall utilize the data from the crash databases and measure the work zone related crash counts and rates in reduced speed zones.	Need to assess speed compliance
3.2.5.22	503.3.4.4	503	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure time to collision for instantaneous safety in reduced speed zones.	Need to assess speed compliance
3.2.5.23	503.3.5	503	The NYC CVPD performance monitoring subsystem shall evaluate whether the number of work zone speed violations on each applicable studied roadway segment decrease from the Before period to the After period and with/without CV.	Need to assess speed compliance
3.2.5.24	504.1.1	504	The NYC CVPD performance monitoring subsystem shall post -process the data surrounding the V2V application events.	Need to assess vehicle-vehicle crashes
3.2.5.25	504.1.1.1	504	"The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the fatality, injury, and property damage only (PDO) crash rates from external crash database sources."	Need to assess vehicle-vehicle crashes
3.2.5.26	504.1.2	504	The NYC CVPD performance monitoring subsystem shall evaluate the change in the number of reportable vehicle -to-vehicle crashes from the Before period to the Pilot period.	Need to assess vehicle-vehicle crashes
3.2.5.27	504.2.5.1	504	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the bus / right -turn related crash counts and rates.	Need to assess vehicle-vehicle crashes
3.2.5.28	504.2.5.2	504	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure right -turn related conflicts between a bus and another vehicle.	Need to assess vehicle-vehicle crashes
3.2.5.29	504.2.6	504	The NYC CVPD performance monitoring subsystem shall evaluate the change in the number of bus / right -turn vehicle crashes from the Before period to the Pilot period.	Need to assess vehicle-vehicle crashes
3.2.5.30	504.3.4.1	504	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the red light violation counts and rates.	Need to assess vehicle-vehicle crashes
3.2.5.31	504.3.4.2	504	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the crash counts and rates related to red light violation.	Need to assess vehicle-vehicle crashes
3.2.5.32	504.3.5	504	The NYC CVPD performance monitoring subsystem shall evaluate the change in the number and severity of red light violations at each studied intersection from the Before period and the Pilot period.	Need to assess vehicle-vehicle crashes
3.2.5.33	505.1.5.1	505	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the pedestrian related crash counts and rates.	Need to assess vehicle-pedestrian crashes
3.2.5.34	505.1.5.2	505	The NYC CVPD performance monitoring subsystem shall utilize the post-processed event data and measure pedestrian- related conflicts/hard braking events.	Need to assess vehicle-pedestrian crashes
3.2.5.35	505.1.6	505	The NYC CVPD performance monitoring subsystem shall evaluate the change in the number of reported vehicle -to-pedestrian crashes from the Before period to the Pilot period.	Need to assess vehicle-pedestrian crashes
3.2.5.36	505.2.1.1	505	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the number of pedestrian crossing violation reductions.	Need to assess vehicle-pedestrian crashes
3.2.5.37	505.2.1.2	505	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the visually-impaired pedestrian -related crash counts and rates.	Need to assess vehicle-pedestrian crashes
3.2.5.38	505.2.1.3	505	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the conflicts with visually-impaired pedestrians.	Need to assess vehicle-pedestrian crashes
3.2.5.39	505.2.1.4	505	The NYC CVPD performance monitoring subsystem shall utilize the post -processed event data and measure the wait time for crossing at the intersections.	Need to assess vehicle-pedestrian crashes
3.2.5.40	505.2.2	505	The NYC CVPD performance monitoring subsystem shall evaluate the change in the number of reported crashes involving visually-impaired pedestrians from the Before period to the Pilot period.	Need to assess vehicle-pedestrian crashes
3.2.5.41	506.1.1.1	506	The NYC CVPD performance monitoring subsystem shall uti lize the post -processed event data and measure the reduction in truck route violations Before and After period.	Need to assess vehicle-infrastructure crashes
3.2.5.42	506.1.2	506	The NYC CVPD performance monitoring subsystem shall evaluate the change in the number of reported crashes decrease from the Before peri od to the Pilot period.	Need to assess vehicle-infrastructure crashes
3.3.1.1	203.5.2	203	"If the ASD determines that it has no valid certificates, it shall cease transmission of BSMs."	Need to manage CV equipment maintenance
3.3.1.4	401.3.1	401	The A SD shall carry out plausibility checking on the remote vehicle BSM data. (Definition of plausibility checking needs to be determined.)	Need to have trusted communications
3.3.1.5	401.3.2	401	The ASD shall sign its event log file entries using its BSM signing keys.	Need to have trusted communications
3.3.1.6	401.3.3	401	The ASD operating system (OS) shall prevent the log file signing application from sending messages on any channel other than those that are identified by the PSID or WSA for particular service.	Need to have trusted communications
3.3.1.7	401.3.4	401	The ASD shall indicate successful receipt of the pseudonym certificates.	Need to have trusted communications
3.3.1.8	401.3.5	401	The SCMS supplier shall track the expected expiry times of ASD enrollment certificates.	Need to have trusted communications
3.3.1.9	401.3.7	401	"When the ASD has no valid BSM signing certificates, it shall store the log file entries as IEEE 1609.2 data of type unsecured."	Need to have trusted communications
3.3.1.10	401.3.8	401	The ASD vendor shall replace the ASDs that need to be re-enroll ed with newer ASDs.	Need to have trusted communications
3.3.1.11	401.4.4	401	The RSU supplier shall provide the serial number and its enrollment certificate for each RSU.	Need to have trusted communications
3.3.1.12	401.4.6	401	The RSU -SCMS interface shall allow the RSU to request application certificates with different contents from the current ones during the lifetime of the current ones.	Need to have trusted communications
3.3.1.13	401.6.2	401	"If a device misbehaves, the SCMS shall blacklist the device and its enrollment certificates and prevent it from obtaining more authorization certificates."	Need to have trusted communications
3.3.1.14	401.7.1	401	The ASD shall obtain certificates via IPv6 connectivity through the RSU.	Need to have trusted communications
3.3.1.15	401.7.2	401	The RSU shall broadcast the WSA for certificate download on control channel 178 and indicate IPv6 connectivity and the IP address on a service channel other than channel 172 or 178.	Need to have trusted communications
3.3.1.16	401.7.3	401	The RSU shall implement a firewall blocking all IP access from devices to any IP address other than those approved for specific applications.	Need to have trusted communications
3.3.1.17	401.7.5	401	The RSUs shall support IPv6 tunneling over IPv4.	Need to have trusted communications
3.3.1.18	401.7.6	401	"Communication between the ASD and the SCMS shall operate in an encrypted, end-to-end connection in accordance with the published SCMS interface. (Note: The SCMS interface should not need any further security.)"	Need to have trusted communications
3.3.1.19	401.7.7	401	The information security manager shall investigate and monitor the data traffic usage to detect unapproved use of the IP connection.	Need to have trusted communications
3.3.1.20	401.7.8	401	"Communication between the RSU and the SCMS shall operate in an encrypted, end-to-end connection in accordance with the published S CMS interface. (Note: The SCMS interface should not need any further security.)"	Need to have trusted communications
3.3.1.21	401.8.1	401	"The NYCDOT IT shall address any denial of service (DoS) attacks within each NYC network using its existing practices. (Note: the networks include NYCWiN, CityNet, DOTN et, any network that DoITT is responsible for.)"	Need to have trusted communications
3.3.1.22	401.8.2	401	The information security manager shall monitor the DSRC communications performance to detect DoS attacks.	Need to have trusted communications
3.3.1.23	401.8.3	401	The RSU shall report over a management interface if channel busy ratios go above a configurable threshold.	Need to have trusted communications
3.3.1.24	401.8.4	401	The ASD shall log an event report every second for which channel busy ratios go above a configurable threshold.	Need to have trusted communications
3.3.1.25	401.9.1	401	The RSU shall operate client -side transport layer security (TLS) and accept only TLS server certificates with specific URLs.	Need to have trusted communications
3.3.1.26	401.9.2	401	"The RSU shall protect root certificates for client -side TLS against modification and provide other certificates in the chain, which shall not make a separate query to the internet to obtain the entire chain."	Need to have trusted communications
3.3.1.27	401.14.1	401	Devices shall communicate using SNMPv3 with SNMP messages protected by being sent over TLS.	Need to have trusted communications
3.3.1.28	401.14.2	401	"Devices shall support establishment of a standard TLS -based VPN with client authentication for communication to the TMC, with a long -term client cert and a single CA cert trusted to authorize connections from the TMC."	Need to have trusted communications
3.3.1.29	401.14.3	401	Devices shall verify received messages per IEEE 1609.2 and per the relevant security profiles before using them for operations in any application.	Need to have trusted communications
3.3.1.30	401.14.4	401	Devices shall s tore RF Monitoring log file entries encrypted with an encryption key belonging to the TMC.	Need to have trusted communications
3.3.1.31	401.14.5	401	The host processor on the device shall perform and pass integrity checks as specified in requirements 401.14.6 - 401.14.9.	Need to have trusted communications
3.3.1.32	401.14.6	401	The integrity checks performed at boot shall use a hardware- protected value such that the integrity cannot be successfully compromised unless the hardware -protected value is modified.	Need to have trusted communications
3.3.1.33	401.14.7	401	"Until all integrity checks on the software and firmware configuration of the host have passed, the device shall not allow a privileged application (as defined in Security Management Operating Concept section 6.1.1) to sign a message."	Need to have trusted communications
3.3.1.34	401.14.8	401	"If any integrity check on the software and firmware configuration of the host fails, the device shall not allow any application to have access to locally stored private keys."	Need to have trusted communications
3.3.1.35	401.14.9	401	"If any integrity check on the software and firmware configuration of the host fails, the device shall not allow any privileged application (as defined in Security Management Operating Concept section 6.1.1) to operate."	Need to have trusted communications
3.3.1.36	401.14.10	401	The OS on the device shall maintain an Access Control List (ACL) for which applications on the host may use each private key in the HSM.	Need to have trusted communications
3.3.1.37	401.14.11	401	The OS shall not permit keys designat ed as private to be read from the HSM.	Need to have trusted communications
3.3.1.38	401.14.12	401	The validation of signed software shall require use of a verification key that is protected by local hardware to a level equivalent to FIPS 140- 2 at the level appropriate for the device.	Need to have trusted communications
3.3.1.39	401.14.13	401	All cryptographic software and firmware for the HSM shall be developed and installed in a form that protects the software and firmware source and executable code from unauthorized disclosure and modification.	Need to have trusted communications
3.3.1.40	401.14.14	401	"The HSM operating system shall prevent a ll operators and executing processes from modifying executing cryptographic processes (i.e., loaded and executing cryptographic program images). In this case, executing processes refer to all non-operating system processes (i.e., operator-initiated), cryptographic or not."	Need to have trusted communications
3.3.1.41	401.14.15	401	The HSM operating system shall prevent operators and executing processes from reading cryptographic software stored within the cryptographic boundary.	Need to have trusted communications
3.3.1.42	401.14.16	401	The device shall provide tamper evidence to detect tampering of the device (e.g. opening of the case).	Need to have trusted communications
3.3.1.43	401.14.17	401	All unused media ports (e.g. USB) shall be sealed.	Need to have trusted communications
3.3.1.44	401.14.18	401	There shall be no removable media.	Need to have trusted communications
3.3.1.45	401.14.19	401	The certificate management service shall start requesting a new certificate or batch of pseudonym certificates a day before the expiry of the current certificate or batch.	Need to have trusted communications
3.3.1.46	401.14.20	401	"When verifying, the device shall require that 1609.2 signed messages are signed by a certificate that is protected from modification by, or chains back to a certificate that is protected from modification by, the secure boot process."	Need to have trusted communications
3.3.1.47	401.14.22	401	A device shall not create or transmit messages for any usage scenario if the usage scenario requires it to use 1609.2 certificates and it does not currently have valid certificates for that usage scenario	Need to have trusted communications
3.3.1.48	401.14.23	401	"A device shall verify a DSRC message when any of the following conditions is met: a) A device identifies the message as containing a new DE_TemporaryID value. b) The message results in the issua nce of issue either advisory, warning, or alert. c) The remote vehicle constitutes a potential threat (define potential threat as a vehicle that may collide with the host vehicle based on the both vehicle’s speeds and trajectories) d) The host vehicle constitutes a threat to a pedestrian using a DSRC equipped Personal Information Device. e) Other potential threat situations such as infrastructure size restrictions, speed compliance, red light violations , and other safety applications. f) Other situations as identified during the Phase 2 Design. Note: Verification consists of meeting the IEEE 1609.2 requirements specified herein this document and the associated message’s Security Profile (to be provided in Phase 2)."	Need to have trusted communications
3.3.1.49	403.2.1	403	The ASD shall support a secure session protocol through VPN over TLS to the TMC for protecting the firmware download.	Need to manage CV application life-cycle
3.3.1.50	403.2.2	403	The RSU shall support a secure session protocol through VPN over TLS to the TMC for protecting the firmware download.	Need to manage CV application life-cycle
3.3.1.51	403.3.1	403	The ASD shall partition enough storage space for its current and new firmware images.	Need to manage CV application life-cycle
3.3.1.52	403.4.1	403	The ASD shall implement a download protocol that permits resumption of incomplete downloads instead of requiring an incomplete download to be restarted.	Need to manage CV application life-cycle
3.3.1.53	403.4.2	403	The RSU shall implement a download protocol that permits resumption of incomplete downloads instead of requiring an incomplete download to be restarted.	Need to manage CV application life-cycle
3.4.1	201.1.1	201	The ASD event recording shall encrypt each event record. (Clarification: this prevents vehicle identity and determination of whether the vehicle is from the control group or the treatment group.)	Need to have privacy
3.4.2	502.1.12	502	Event records shall only be decrypted by the central performance analysis software.	Need to collect event recordings
3.5.1.1	204.6.1	204	The system administrator shall be able to change the volume level of the audio output (e.g. speakers).	Need to limit additional vehicle cab devices that have the potential to distract drivers
3.5.1.2	510.10.1	510	The ASD shall have the ability to operate in either silent mode or active mode.	Need to assess all CV applications
3.5.1.3	510.10.1.1	510	The ASD shall record events* without audibly notifying the driver when operating in silent mode.	Need to assess all CV applications
