NeedID	ReqID	ReqTitle	ReqText	JustForReq	SourceJust	VerMethod
101.3	101.3.13	Speed Compliance / Work Zone	The SPDCOMPWZ application shall determine the speed of the host vehicle bas ed on accuracy and (configurable) threshold per J2945/1.	Need ID 101.3: Need to manage speed in work zones –speed limit		Demo
101.3	101.3.14	Speed Compliance / Work Zone	The SPDCOMPWZ application shall determine the difference between the posted speed on the upcoming reduced speed zone and the vehicle's current speed.	Need ID 101.3: Need to manage speed in work zones –speed limit		Demo
101.3	101.3.15	Speed Compliance / Work Zone	"If the vehicle speed is greater than the reduced speed zone, the SPD COMPWZ application shall advise the driver in time for the driver to reduce vehicle speed to the posted speed limit before the vehicle enters the zone."	Need ID 101.3: Need to manage speed in work zones –speed limit Revised;	FHWA -JPO-13-061 (Battelle) [SYS- REQ -628]	Test
101.3	101.3.16	Speed Compliance / Work Zone	"The SPDCOMPWZ application shall determine if the vehicle exceeds the Work Zone Posted Speed plus the Excessive Zone Speed Amount Threshold, for a period exceeding the Excessive Zone Speed Time Threshold."	Need ID 101.3: Need to manage speed in work zones –speed limit	Revised; CVRIA Reduced Speed Zone Warning	Demo
101.3	101.3.17	Speed Compliance / Work Zone	"While the vehicle is in the speed zone, the SPDCOMPWZ application shall trigger a driver alert when the vehicle speed exceeds the Work Zone Posted Speed plus the Excessive Zone Speed Amount Threshold, for a period exceeding the Excessive Zone Speed Time Threshold."	Need ID 101.3: Need to manage speed in work zones –speed limit	Revised; CVRIA Reduced Speed Zone Warning	Test
102.1	102.1.1	Forward Crash Warning	The FCW safety application shall warn drivers of impending rear-end collisions with other DSRC -equipped vehicles.	Need ID 102.1: Need to reduce crashes between vehicles	NYC CVPD ConOps	Test
102.2	102.2.1	Emergency Electronic Brake Light	The EEBL safety application shall warn drivers about DSRC -equipped vehicles braking.	Need ID 102.2: Need to reduce crashes between vehicles	NYC CVPD ConOps	Test
102.3	102.3.1	Blind Spot Warning	The BSW safety application shall warn drivers about DSRC -equipped vehicles in their blind spots.	Need ID 102.3: Need to reduce crashes between vehicles	NYC CVPD ConOps	Test
102.3	102.3.2	Lane Change Warning	The LCW safety application shall warn drivers about DSRC-equipped vehicles changing lanes in the same direction.	Need ID 102.3: Need to reduce crashes between vehicles	NYC CVPD ConOps	Test
102.4	102.4.1	Intersection Movement Assist	The IMA safety application shall warn drivers about DSRC -equipped vehicles that cross the intersection.	Need ID 102.4: Need to reduce crashes between vehicles	NYC CVPD ConOps	Test
102.5	102.5.4	Vehicle Turning Right in Front of a Transit Vehicle	The VTRW application shall detect whether a vehicle is turning right in front of transit vehicle via the position and heading data received in a basic safety message (from a remote vehicle) based on the PVT accuracy for positioning.	Need ID 102.5: Need to reduce crashes between vehicles	Modified from FHWA -JPO-14-118 (Battelle) [SYSREQ_042]	Demo
102.5	102.5.5	Vehicle Turning Right in Front of a Transit Vehicle	The application alert mode in the VTRW application shall be active when the transit vehicle stops within a bus stop geographic zone.	Need ID 102.5: Need to reduce crashes between vehicles	Editorial; FHWA -JPO-14-118 (Battelle) [SYSREQ_043]	Demo
102.5	102.5.6	Vehicle Turning Right in Front of a Transit Vehicle	The application alert mode shall terminate when the transit vehicle stops within a bus stop geographic zone.	Need ID 102.5: Need to reduce crashes between vehicles	Name Change; FHWA -JPO-14-118 (Battelle) [SYSREQ_044]	Demo
102.5	102.5.7	Vehicle Turning Right in Front of a Transit Vehicle	The VTRW application shall only issue alerts to the driver when the transit vehicle indicates an impending crash.	Need ID 102.5: Need to reduce crashes between vehicles	Editorial; FHWA -JPO-14-118 (Battelle) [SYSREQ_045]	Demo
102.5	102.5.8	Vehicle Turning Right in Front of a Transit Vehicle	A VTRW application shall advise if a remote vehicle which originates directly behind the transit vehicle at a bus stop begins to pass to the left of the transit vehicle as the transit vehicle is departing a bus stop.	Need ID 102.5: Need to reduce crashes between vehicles	"Name Change, Editorial; FHWA -JPO-14-118 (Battelle) [SYSREQ_046]"	Test
102.5	102.5.9	Vehicle Turning Right in Front of a Transit Vehicle	A VTRW alert shall alert the driver if a remote vehicle which originates directly behind the transit vehicle at a bus stop passes to the left of the transit vehicle as the transit vehicle is departing a bus stop and the remote vehicle’s position and heading indicates an intent to return to or cross the lane of the transit vehicle.	Need ID 102.5: Need to reduce crashes between vehicles	"Name Change, Editorial; FHWA -JPO-14-118 (Battelle) [SYSREQ_047]"	Test
102.5	102.5.17	Vehicle Turning Right in Front of a Transit Vehicle	The VTRW application shall present the alerts regardless of traffic signal status.	Need ID 102.5: Need to reduce crashes between vehicles	FHWA -JPO-14-118 SWREQ_014	Demo
102.5	102.5.26	Vehicle Turning Right in Front of a Transit Vehicle	The VTRW application shall have access to the transit vehicle's gear position.	Need ID 102.5: Need to reduce crashes between vehicles		Demo
102.5	102.5.27	Aftermarket Safety Device	The ASD shall have access to the host vehicle’s brake status.	Need ID 102.5: Need to reduce crashes between vehicles		Demo
102.6	102.6.1	Red Light Violation Warning	The RLVW Application shall receive the SPaT and MAP data sent by the RSUs to the vehicles deployed along the NYC CVPD corridors as per J2735.	Need ID 102.6: Need to reduce crashes between vehicles	Revised from FHWA -JPO-13-059 [SYS-REQ -145]. ISO 19091 referenced per reviewers	Demo
102.6	102.6.2	Red Light Violation Warning	The RLVW application shall use the same time source as infrastructure SPaT applications.	Need ID 102.6: Need to reduce crashes between vehicles	Revised; FHWA -JPO-13-059 (Battelle) [SYS- REQ -102]	Demo
102.6	102.6.9	Red Light Violation Warning	"The RLVW application shall acquire SPaT information, through the Host Vehicle ASD, from the intersection RSU and signal controller at a signalized intersection within RSU's DSRC range and in the vehicle's direction of travel."	Need ID 102.6: Need to reduce crashes between vehicles	"Modified from CVRIA Red Light Violation Warning, ISO 19091"	Demo
102.6	102.6.10	Red Light Violation Warning	The RLVW application shall acquire the location of the stop bars at signalized intersections at which RLVW is operating from the intersection MAP Message.	Need ID 102.6: Need to reduce crashes between vehicles	Modified from CVRIA Red Light Violation Warning	Demo
102.6	102.6.11	Red Light Violation Warning	The RLVW application shall acquire the following from Intersection SPaT messages for use in RLVW advisory and alert calculations: 1. Intersection geometric information 2. Signal Phase and Timing information of the traffic signal at the Intersection 3. Intersection status of the traffic controller 4. Traffic law restrictions for the intersection	Need ID 102.6: Need to reduce crashes between vehicles	Revised and split; FHWA -JPO-13-059 (Battelle) [SYS- REQ -137]	Inspect
102.6	102.6.12	Red Light Violation Warning	The Vehicle RLVW Application shall be inactive if one or more of the following conditions occur: 1. Vehicle position and accuracy information is not available 2. Vehicle Speed is not available 3. Communication failure between Vehicle and Infrastructure 4. SPaT information is not available 5. MAP information is not available 6. Vehicle Heading information is not available	Need ID 102.6: Need to reduce crashes between vehicles	FHWA -JPO-13-059 [SYS-REQ -138]	Test
102.6	102.6.13	Red Light Violation Warning	"The RLVW application shall calculate if a vehicle will violate the Red Light stop bar at a signalized intersection based on its current speed, heading, acceleration, location, location of stop bars, stop bar tolerance and yellow duration tolerance."	Need ID 102.6: Need to reduce rashes between vehicles	Revised from CVRIA Red Light Violation Warning	Test
102.6	102.6.14	Red Light Violation Warning	"The RLVW application shall trigger a driver alert for a vehicle approaching a signalized intersection when it determines that a stop is required and the vehicle will violate the Red Light stop bar at a signalized intersection based on its current speed, heading, acceleration, location and the location of stop bars."	Need ID 102.6: Need to reduce crashes between vehicles	Revised; FHWA -JPO-13-059 (Battelle) [SYS- REQ -139]	Test
102.6	102.6.15	Red Light Violation Warning	The RLVW application shall alert drivers in time for the driver to take action for a required stop at a signalized intersection.	Need ID 102.6: Need to reduce crashes between vehicles	Revised; FHWA -JPO-13-059 (Battelle) [SYS- REQ -147]	Test
102.6	102.6.16	Red Light Violation Warning	The RLVW Application shall not alert the driver if the vehicle has safely stopped at the intersection and subsequently accelerates such that a violation occurs.	Need ID 102.6: Need to reduce crashes between vehicles	Editorial; FHWA-JPO-13-059 (Battelle) [SYS- REQ -142]	Demo
102.6	102.6.18	Red Light Violation Warning	The RLVW application shall acquire the following from Intersection MAP messages for use in RLVW advisory and alert calculations: 1. Intersection geometric information 2. Signal Phase and Timing information of the traffic signal at the Intersection 3. Intersection status of the traffic controller 4. Traffic law restrictions for the intersection	Need ID 102.6: Need to reduce crashes between vehicles Revised and split;	FHWA -JPO-13-059 (Battelle) [SYS- REQ -137]	Inspect
103	103.1.1	Oversize Vehicle Compliance	"The ASD shall advise the driver of a potential crash before the bridge, overpass, or tunnel to exit the restricted roadway and find an alternate route. (Note: Advisory Distance Threshold Parameter is defined in Table E -1 (pg. 157) in the Appendix.)"	"Need ID 103: Need to warn potential violators of size-restricted roadways (e.g. bridges, overpasses or tunnels) in time for the driver to take appropriate action"		Demo
103	103.1.2	Oversize Vehicle Compliance	"The ASD shall warn the driver of an impending crash before the over -height bridge, overpass, or tunnel to stop the vehicle completely and avoid the crash. (Note: Warning Distance Threshold Parameter is defined in Table E -1 (pg. 157) in the Appendix.)"	"Need ID 103: Need to warn potential violators of size-restricted roadways (e.g. bridges, overpasses or tunnels) in time for the driver to take appropriate action"		Demo
103	103.2.1	Oversize Vehicle Compliance	The OVC application shall calculate whether or not the vehicle is at risk of crash by comparing the vehicle's height and the height of the roadway restriction.	"Need ID 103: Need to warn potential violators of size-restricted roadways (e.g. bridges, overpasses or tunnels) in time for the driver to take appropriate action"		Demo
103	103.3.1	Oversize Vehicle Compliance	The OVC application shall utilize the host vehicle's pre- established height in determining whether to alert the driver.	"Need ID 103: Need to warn potential violators of size-restricted roadways (e.g. bridges, overpasses or tunnels) in time for the driver to take appropriate action"		Demo
103	103.3.2	Oversize Vehicle Compliance	The OVC application shall determine the location of the vehicle relative to the location of the size -restricted or weight restricted roadway.	"Need ID 103: Need to warn potential violators of size-restricted roadways (e.g. bridges, overpasses or tunnels) in time for the driver to take appropriate action"		Demo
103	103.3.3	Oversize Vehicle Compliance	The RSU shall contain the roadway's clearance height and communicate it to the ASD via DSRC.	"Need ID 103: Need to warn potential violators of size-restricted roadways (e.g. bridges, overpasses or tunnels) in time for the driver to take appropriate action"		Demo
104.1	104.1.5	Pedestrian in Signalized Intersection Warning	"A PEDINXWALK alert shall be displayed if a pedestrian has been detected in a crosswalk that intersects the Transit Vehicle’s planned forward, left or right turn route at the intersection."	Need ID 104.1: Need to reduce crashes between vehicles and pedestrians / bicyclists	FHWA -JPO-14-118	Demo
104.1	104.1.7	Pedestrian in Signalized Intersection Warning	The Pedestrian Detector shall send a pedestrian detected signal when a pedestrian is present in the crosswalk it monitors.	Need ID 104.1: Need to reduce crashes between vehicles and pedestrians / bicyclists	FHWA -JPO-14-118 [HWREQ_030]	Demo
104.1	104.1.8	Pedestrian in Signalized Intersection Warning	The Pedestrian Detectors shall be pole mountable.	Need ID 104.1: Need to reduce crashes between vehicles and pedestrians / bicyclists	FHWA -JPO-14-118 [SYSREQ_006]	Inspect
104.1	104.1.10	Pedestrian in Signalized Intersection Warning	The PEDINXWALK System Latency for pedestrian detection shall be no more than 2 seconds from detecting pedestrian to alert.	Need ID 104.1: Need to reduce crashes between vehicles and pedestrians / bicyclists	FHWA -JPO-14-118 [HWREQ_008]	Test
104.1	104.1.12	Pedestrian in Signalized Intersection Warning	The PEDINXWALK application shall receive Signal Phase and Timing for Pedestrian Lanes and Pedestrian presence detection from the SPaT system.	Need ID 104.1: Need to reduce crashes between vehicles and pedestrians / bicyclists	FHWA -JPO-14-118 [SYSREQ_048]	Demo
104.2	104.2.3	Mobile Accessible Pedestrian Signal System	The PED -SIG application shall correctly discern the pedestrian's position and intended crossing direction.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYC CVPD Safety Management Plan	Demo
104.2	104.2.4	Mobile Accessible Pedestrian Signal System	The PED -SIG application shall provide status of the walk signal in the intended direction.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYC CVPD Safety Management Plan	Demo
104.2	104.2.7	Mobile Accessible Pedestrian Signal System	The PED -SIG application shall advise (via audio) the pedestrian how to use the application.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYC CVPD Safety Management Plan	Demo
104.2	104.3.1	Mobile Accessible Pedestrian Signal System	The PED -SIG application shall receive intersection geometry information from the RSU based on J2735- 201603.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYC Team Review	Inspect
104.2	104.3.2	Mobile Accessible Pedestrian Signal System	The PED -SIG application shall use the intersection geometry information to determine the pedestrian's orientation.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Geospatial Requirement	Inspect
104.2	104.3.3	Mobile Accessible Pedestrian Signal System	The PED-SIG application shall use the intersection geometry information provided by the MAP message to determine the crosswalk geometry of the intended crossing.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Geospatial Requirement	Inspect
104.2	104.3.8	Mobile Accessible Pedestrian Signal System	The PED -SIG Application shall determine the intended crossing time from the intersection geographic information (distance) and the expected pedestrian travel rate (configurable).	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Geospatial Requirement	Inspect
104.2	104.3.9	Mobile Accessible Pedestrian Signal System	"The PED -SIG application shall collect data on the map error status notification. (partial, unable to detect). (Note: this is intended to assist the system in troubleshooting problems; the quality of the MAP data is critical to the application and this requirements ens ures that such issues are made known to the central system for correction. This assumes that the application notifies the PED whenever it encounters a geographic computation error.)"	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Geospatial Requirement	Inspect
104.2	104.4.6	Mobile Accessible Pedestrian Signal System	The PED -SIG application on the PID shall acquire credentials from the SCMS that will allow it to authenticate the SPaT and MAP messages received.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Security Requirement	Inspect
104.2	104.4.8	Mobile Accessible Pedestrian Signal System	The SCMS shall be able to set service specific permissions associated with the future support of pedestrian requests from the PID.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Security Requirement	Inspect
104.2	104.4.10	Mobile Accessible Pedestrian Signal System	Applications on the PID shall be able to sign messages transmitted to the RSU.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Security Requirement	Inspect
104.2	104.4.11	Mobile Accessible Pedestrian Signal System	Applications shall be capable of including a unique ID which shall remain stable (unchanged) throughout the PID's interaction with a single intersection.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Security Requirement	Inspect
104.2	104.5.1	Mobile Accessible Pedestrian Signal System	The PED -SIG application shall provide information to the pedestrian based on the content of the SPaT and MAP message at the nearest intersection.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Functional Requirement	Inspect
104.2	104.5.2	Mobile Accessible Pedestrian Signal System	The Application on the PID shall assist the pedestrian in determining his/her orientation. (Note: Definition of orientation: to understand which street crossing the pedestrian is facing.)	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Functional Requirement	Inspect
104.2	104.5.3	Mobile Accessible Pedestrian Signal System	The PID application shall provide information to the pedestrian regarding the availability of PED support services at the intersection. (If there is an RSU.)	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Functional Requirement	Inspect
104.2	104.5.4	Mobile Accessible Pedestrian Signal System	"Application shall provide information to the pedestrian indicating the status of the pedestrian signal for the intended crossing including walk time remaining, clearance time remaining, and time until the next walk signal is expected."	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Functional Requirement	Inspect
104.2	104.5.6	Mobile Accessible Pedestrian Signal System	"The PED Applications shall allow the pedestrian to configure selected parameters and characteristics such as sound volume, voice commands, and walking speeds."	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Functional Requirement	Inspect
104.2	104.5.8	Mobile Accessible Pedestrian Signal System	The application shall notify the pedestrian if there is a preemption or priority change (TSP) operation taking place which may disrupt the signal timing.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Functional Requirement	Inspect
104.2	104.5.10	Mobile Accessible Pedestrian Signal System	"The Application shall calculate intersection crossing information based on pedestrian’s origin, destination, departure range, arrival range. (Note: this is for coordination of signal timing phase.)"	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Functional Requirement	Inspect
104.2	104.5.11	Mobile Accessible Pedestrian Signal System	The PED -SIG Application shall collect the performance data listed in Table G -3.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Functional Requirement	Inspect
104.2	104.5.13	Mobile Accessible Pedestrian Signal System	The Application shall collect metadata that includes the date and time when system information was generated.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Functional Requirement	Inspect
104.2	104.5.14	Mobile Accessible Pedestrian Signal System	The PED -SIG application shall receive signal timing and controller status from the RSU through the SPaT message.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Functional Requirement	Inspect
104.2	104.5.18	Mobile Accessible Pedestrian Signal System	Every PID shall be able to change signing keys per SAE J2945/9 Section 6.6. (Note: the signing will be static during interactions with a single intersection.)	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Functional Requirement	Inspect
104.2	104.6.2	Mobile Accessible Pedestrian Signal System	The PED -SIG application shall continuously notify the user that it is operating.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Non-Functional Requirement	Demo
104.2	104.6.3	Mobile Accessible Pedestrian Signal System	The PED -SIG application shall be able to provide requested information within 10 seconds.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Non-Functional Requirement	Inspect
104.2	104.6.3.1	Mobile Accessible Pedestrian Signal System	"If the delay will be longer than 10 seconds, then the PED -SIG application shall provide information indicating how long it is expected to complete the operation."	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Non-Functional Requirement	Demo
104.2	104.6.4	Mobile Accessible Pedestrian Signal System	The applications shall be able to measure and log the time required to provide the pedestrian the information.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Non-Functional Requirement	Inspect
104.2	104.6.11	Mobile Accessible Pedestrian Signal System	The PID device shall be able to function in a communication-saturated environment.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Non-Functional Requirement	Inspect
104.2	104.8.4	Mobile Accessible Pedestrian Signal System	The PID system shall ensure geo -location information is used for PED-SIG application only.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Privacy Requirement	Inspect
104.2	104.8.9	Mobile Accessible Pedestrian Signal System	All data transmitted between the PID and the NYU server shall be encrypted to protect any personal information.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Privacy Requirement	Inspect
104.2	104.8.10	Mobile Accessible Pedestrian Signal System	Data stored by the NYU server or exported for independent evaluation shall be processed to remove any personal information and any attributes including exact location and exact time such that the data cannot be associated with a particular person or event.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Privacy Requirement	Inspect
104.2	104.9.4	Mobile Accessible Pedestrian Signal System	The PID shall use the channel assignments defined in Table F -1.	Need ID 104.2: Need to reduce crashes between vehicles and visually / audibly-impaired pedestrians	NYCDOT Pedestrian Mobility Requirement	Inspect
105	105.1.2	Emergency Communications and Evacuation Information	The NYC CVPD performance monitoring subsystem shall utilize the post-processed event data and measure the number of vehicles receiving emergency information Before and After periods.	Need ID 105: Need to inform drivers of serious incidents	NYC CVPD Performance Measurement Plan	Demo
106	106.1.1	Mobility Data Collection	The NYC CVPD performance monitoring subsystem shall post -process the mobility data from the I -SIGCVDATA application Before and After periods.	Need ID 106: Need to provide mobility information in heavily congested areas	NYC CVPD Performance Measurement Plan	Demo
106	106.1.1.1	Mobility Data Collection	The NYC CVPD performance monitoring subsystem shall utilize the post-processed event data and measure the average speed from NYC CVPD for comparison to the legacy detection system.	Need ID 106: Need to provide mobility information in heavily congested areas	NYC CVPD Performance Measurement Plan	Demo
106	106.1.1.2	Mobility Data Collection	The NYC CVPD performance monitoring subsystem shall utilize the post-processed event data and measure the average travel time from NYC CVPD for comparison to the legacy detection system.	Need ID 106: Need to provide mobility information in heavily congested areas	NYC CVPD Performance Measurement Plan	Demo
110	110.1.1	Common Safety Applications	The Safety Application shall function in vehicle classes in which it is to be installed in the NYC CVPD. (Note: NYC CVPD vehicles are specified in the USDOT ASD Design Specification v3.1.)	Need ID 102: Need to reduce crashes	Revised; FHWA -JPO-13-061 (Battelle) [SYS- REQ -002]	Demo
110	110.1.2	Common Safety Applications	The Safety Application shall function in weather (pavement and atmospheric) and lighting conditions anticipated for the NYC CVPD. (Note: NYC CVPD operational weather conditions are specified in the USDOT ASD Design Specification v3.1.)	Need ID 102: Need to reduce crashes	Revised; FHWA -JPO-13-061 (Battelle) [SYS- REQ -003]	Demo
110	110.1.3	Common Safety Applications	The Safety Application shall function on NYC CVPD roadways. (Note: NYC CVPD roadways are identified in the NYC CVPD ConOps.)	Need ID 102: Need to reduce crashes	Revised; FHWA -JPO-13-061 (Battelle) [SYS- REQ -004]	Demo
110	110.1.4	Common Safety Applications	The Safety Application shall obtain vehicle position data whose accuracy supports the application's calculations for issuing advisories and alerts.	Need ID 102: Need to reduce crashes	Revised; FHWA -JPO-13-061 (Battelle) [SYS- REQ -005]	Demo
110	110.1.5	Common Safety Applications	The Safety Application shall not interfere with other in- vehicle safety systems.	Need ID 102: Need to reduce crashes	Revised; FHWA -JPO-13-061 (Battelle) [SYS- REQ -006]	Demo
110	110.1.6	Common Safety Applications	"The Safety Application shall use advisories and alerts that conform to human factors guidelines issued by the FHWA, NHTSA, and SAE."	Need ID 102: Need to reduce crashes	Revised; FHWA -JPO-13-061 (Battelle) [SYS- REQ -009]	Test
110	110.1.7	Common Safety Applications	The Safety Application shall perform self-diagnostics upon power up and at TBD intervals when the vehicle is operating. (Note: Self-Diagnostics refers to the ability of the Safety Application to determine whether it is capable of performing its intended function. This will be detailed in the design phase.)	Need ID 102: Need to reduce crashes	FHWA -JPO-13-061	Demo
110	110.1.8	Common Safety Applications	"The Safety Application shall determine the operating level/mode of operational, degraded, or failure based on the results of a self-diagnostic test."	Need ID 102: Need to reduce crashes	FHWA -JPO-13-061	Demo
110	110.1.9	Common Safety Applications	The Safety Application shall set the operational status corresponding to the operational level mode as follows: 1. Operational – online 2. Degraded – online 3. Failure – offline	Need ID 102: Need to reduce crashes	FHWA -JPO-13-061	Demo
110	110.1.10	Common Safety Applications	"The Safety Application shall log self-diagnostic test failure which contains, at a minimum, the following information: 1. Date and time of test failure 2. Additional information to the nature of a failed test"	Need ID 102: Need to reduce crashes	FHWA -JPO-13-061	Demo
110	110.1.11	Common Safety Applications	"The Safety Application shall maintain historical information of self-diagnostic test failures for a predetermined period in non-volatile storage. (Note: Non -volatile storage refers to storage that remains intact even when there is no power. It is left up to the implementer to determine if the retention of data is a fixed window of time, if it is based on a fixed amount of storage, or if it is until cleared.)"	Need ID 102: Need to reduce crashes	FHWA -JPO-13-061	Demo
110	110.1.12	Common Safety Applications	The Safety Application shall take itself off -line when the operating level/mode is failure.	Need ID 102: Need to reduce crashes	FHWA -JPO-13-061	Demo
110	110.1.13	Common Safety Applications	The Safety Application shall restore or maintain itself on -line when the operating level/mode is either operational or degraded.	Need ID 102: Need to reduce crashes	FHWA -JPO-13-061	Demo
110	110.1.14	Common Safety Applications	The Safety Application shall perform effectively for all defined NYC CVPD functional classes of roadway and levels of service (LOS) where the application is installed or is being used. (Note: NYC CVPD functional classes of roadway and levels of service are specified in the NYC CVPD ASD Specification.)	Need ID 102: Need to reduce crashes	FHWA -JPO-13-061	Demo
110	110.1.15	Common Safety Applications	The Safety Application shall be able to receive and decode messages broadcast by NYC CVPD RSU. (Note: NYC CVPD RSU is specified in the NYC CVPD RSU Specification.)	Need ID 102: Need to reduce crashes	FHWA -JPO-13-061	Demo
110	110.1.16	Common Safety Applications	The V2I Safety Application alerts shall only be issued when the current inputs to the application warrants an advisory or alert.	Need ID 102: Need to reduce crashes	FHWA -JPO-13-061	Demo
110	110.1.17	Common Safety Applications	"Safety Application Driver Training shall conform to human factors guidelines issued by the FHWA, NHTSA, and SAE."	Need ID 102: Need to reduce crashes	FHWA -JPO-13-061	Analysis
